"No.","Time","Source","Destination","Protocol","Length","Info"
"40","5.512029","192.168.1.60","157.90.91.75","TCP","54","58030  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"41","5.512330","192.168.1.60","157.90.91.75","TLSv1.3","668","Client Hello"
"42","5.529051","157.90.91.75","192.168.1.60","TCP","54","443  >  58029 [ACK] Seq=5628 Ack=1412 Win=64128 Len=0"
"43","5.570516","157.90.91.75","192.168.1.60","TLSv1.3","308","Server Hello, Change Cipher Spec, Application Data, Application Data"
"44","5.570961","192.168.1.60","157.90.91.75","TLSv1.3","134","Change Cipher Spec, Application Data"
"45","5.571223","192.168.1.60","157.90.91.75","TLSv1.3","152","Application Data"
"46","5.571408","192.168.1.60","157.90.91.75","TLSv1.3","618","Application Data"
"47","5.629160","157.90.91.75","192.168.1.60","TLSv1.3","349","Application Data"
"48","5.629548","157.90.91.75","192.168.1.60","TLSv1.3","112","Application Data"
"49","5.629582","192.168.1.60","157.90.91.75","TCP","54","58030  >  443 [ACK] Seq=1357 Ack=608 Win=131328 Len=0"
"50","5.629712","192.168.1.60","157.90.91.75","TLSv1.3","85","Application Data"
"51","5.630827","157.90.91.75","192.168.1.60","TLSv1.3","373","Application Data"
"52","5.634968","192.168.1.60","157.90.91.75","TLSv1.3","265","Application Data"
"53","5.681493","192.168.1.60","157.90.91.75","TCP","54","58030  >  443 [ACK] Seq=1388 Ack=927 Win=131072 Len=0"
"54","5.691503","157.90.91.75","192.168.1.60","TCP","54","443  >  58029 [ACK] Seq=5628 Ack=1623 Win=64128 Len=0"
"55","5.692589","157.90.91.75","192.168.1.60","TLSv1.3","223","Application Data"
"56","5.734450","157.90.91.75","192.168.1.60","TCP","54","443  >  58030 [ACK] Seq=927 Ack=1388 Win=64128 Len=0"
"57","5.745375","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1623 Ack=5797 Win=131840 Len=0"
"58","5.820508","157.90.91.75","192.168.1.60","TLSv1.3","655","Application Data"
"59","5.834850","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","94","Standard query 0x6b93 A www.amazon.com"
"60","5.855666","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","194","Standard query response 0x6b93 A www.amazon.com CNAME tp.47cf2c8c9-frontier.amazon.com CNAME www-amazon-com.customer.fastly.net A 162.219.225.118"
"61","5.856407","192.168.1.60","162.219.225.118","TCP","66","58031  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"62","5.870303","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1623 Ack=6398 Win=131328 Len=0"
"63","6.090202","192.168.1.60","162.219.225.118","TCP","66","58032  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"64","6.091503","157.90.91.75","192.168.1.60","TCP","655","[TCP Spurious Retransmission] 443  >  58029 [PSH, ACK] Seq=5797 Ack=1623 Win=64128 Len=601"
"65","6.091529","192.168.1.60","157.90.91.75","TCP","66","[TCP Dup ACK 62#1] 58029  >  443 [ACK] Seq=1623 Ack=6398 Win=131328 Len=0 SLE=5797 SRE=6398"
"66","6.144078","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"67","6.198064","162.219.225.118","192.168.1.60","TCP","66","443  >  58032 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM WS=512"
"68","6.198158","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"69","6.198492","192.168.1.60","162.219.225.118","TLSv1.3","571","Client Hello"
"70","6.231752","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=1 Ack=518 Win=139264 Len=0"
"71","6.234605","162.219.225.118","192.168.1.60","TLSv1.3","1430","Server Hello, Change Cipher Spec, Application Data"
"72","6.234605","162.219.225.118","192.168.1.60","TCP","1430","443  >  58032 [PSH, ACK] Seq=1377 Ack=518 Win=139264 Len=1376 [TCP segment of a reassembled PDU]"
"73","6.234671","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=518 Ack=2753 Win=131072 Len=0"
"74","6.234787","162.219.225.118","192.168.1.60","TLSv1.3","1430","Application Data"
"75","6.234787","162.219.225.118","192.168.1.60","TLSv1.3","319","Application Data, Application Data, Application Data"
"76","6.234822","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=518 Ack=4394 Win=131072 Len=0"
"77","6.241859","192.168.1.60","162.219.225.118","TLSv1.3","118","Change Cipher Spec, Application Data"
"78","6.242092","192.168.1.60","162.219.225.118","TLSv1.3","152","Application Data"
"79","6.242296","192.168.1.60","162.219.225.118","TLSv1.3","1051","Application Data"
"80","6.242349","192.168.1.60","162.219.225.118","TLSv1.3","369","Application Data"
"81","6.273026","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=4394 Ack=582 Win=139264 Len=0"
"82","6.273026","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=4394 Ack=680 Win=139264 Len=0"
"83","6.273991","162.219.225.118","192.168.1.60","TLSv1.3","113","Application Data"
"84","6.274240","192.168.1.60","162.219.225.118","TLSv1.3","85","Application Data"
"85","6.274696","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=4453 Ack=1677 Win=141312 Len=0"
"86","6.274696","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=4453 Ack=1992 Win=143360 Len=0"
"87","6.305283","162.219.225.118","192.168.1.60","TCP","54","443  >  58032 [ACK] Seq=4453 Ack=2023 Win=143360 Len=0"
"88","6.521081","162.219.225.118","192.168.1.60","TLSv1.3","1359","Application Data"
"89","6.523472","162.219.225.118","192.168.1.60","TLSv1.3","906","Application Data"
"90","6.523534","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=2023 Ack=6610 Win=131072 Len=0"
"91","6.524692","162.219.225.118","192.168.1.60","TLSv1.3","147","Application Data"
"92","6.532183","162.219.225.118","192.168.1.60","TCP","1430","443  >  58032 [ACK] Seq=6703 Ack=2023 Win=143360 Len=1376 [TCP segment of a reassembled PDU]"
"93","6.532183","162.219.225.118","192.168.1.60","TLSv1.3","756","Application Data, Application Data"
"94","6.532248","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=2023 Ack=8781 Win=131072 Len=0"
"95","6.533956","162.219.225.118","192.168.1.60","TLSv1.3","988","Application Data"
"96","6.533976","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=2023 Ack=9715 Win=130048 Len=0"
"97","6.535122","162.219.225.118","192.168.1.60","TLSv1.3","427","Application Data"
"98","6.538923","162.219.225.118","192.168.1.60","TLSv1.3","174","Application Data"
"99","6.538939","192.168.1.60","162.219.225.118","TCP","54","58032  >  443 [ACK] Seq=2023 Ack=10208 Win=131072 Len=0"
"100","6.543687","192.168.1.60","157.90.91.75","TCP","1506","58029  >  443 [ACK] Seq=1623 Ack=6398 Win=131328 Len=1452 [TCP segment of a reassembled PDU]"
"101","6.543687","192.168.1.60","157.90.91.75","TCP","1506","58029  >  443 [ACK] Seq=3075 Ack=6398 Win=131328 Len=1452 [TCP segment of a reassembled PDU]"
"102","6.543687","192.168.1.60","157.90.91.75","TCP","1506","58029  >  443 [ACK] Seq=4527 Ack=6398 Win=131328 Len=1452 [TCP segment of a reassembled PDU]"
"103","6.543687","192.168.1.60","157.90.91.75","TLSv1.3","147","Application Data"
"104","6.600701","157.90.91.75","192.168.1.60","TCP","54","443  >  58029 [ACK] Seq=6398 Ack=3075 Win=64128 Len=0"
"105","6.611465","157.90.91.75","192.168.1.60","TCP","54","443  >  58029 [ACK] Seq=6398 Ack=4527 Win=64128 Len=0"
"106","6.612615","157.90.91.75","192.168.1.60","TCP","54","443  >  58029 [ACK] Seq=6398 Ack=6072 Win=63360 Len=0"
"107","6.863990","192.168.1.60","162.219.225.118","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 58031  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"108","6.894715","162.219.225.118","192.168.1.60","TCP","66","443  >  58031 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 SACK_PERM WS=512"
"109","6.894883","192.168.1.60","162.219.225.118","TCP","54","58031  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"110","6.895372","192.168.1.60","162.219.225.118","TLSv1.3","571","Client Hello"
"111","6.926006","162.219.225.118","192.168.1.60","TCP","54","443  >  58031 [ACK] Seq=1 Ack=518 Win=139264 Len=0"
"112","6.926006","162.219.225.118","192.168.1.60","TLSv1.3","475","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data"
"113","6.926790","192.168.1.60","162.219.225.118","TLSv1.3","118","Change Cipher Spec, Application Data"
"114","6.956704","162.219.225.118","192.168.1.60","TCP","54","443  >  58031 [ACK] Seq=422 Ack=582 Win=139264 Len=0"
"115","7.065762","192.168.1.56","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"116","7.065803","fe80::3051:e0ff:fe61:a710","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"117","7.065803","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"118","7.066586","fe80::3051:e0ff:fe61:a710","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"119","7.372904","192.168.1.56","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"120","7.680335","192.168.1.56","224.0.0.251","MDNS","220","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QU"" question ANY Android-3.local, ""QU"" question ANY Android-3.local, ""QU"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"121","7.680335","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","240","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QU"" question ANY Android-3.local, ""QU"" question ANY Android-3.local, ""QU"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"122","7.680817","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.56? Tell 192.168.1.1"
"123","7.987480","192.168.1.56","224.0.0.251","MDNS","220","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QM"" question ANY Android-3.local, ""QM"" question ANY Android-3.local, ""QM"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"124","7.987480","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","240","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QM"" question ANY Android-3.local, ""QM"" question ANY Android-3.local, ""QM"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"125","7.988309","192.168.1.56","224.0.0.251","MDNS","220","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QM"" question ANY Android-3.local, ""QM"" question ANY Android-3.local, ""QM"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"126","7.988309","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","240","Standard query 0x0000 ANY {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local, ""QM"" question ANY Android-3.local, ""QM"" question ANY Android-3.local, ""QM"" question SRV 0 0 56666 Android-3.local A 192.168.1.56 AAAA fe80::3051:e0ff:fe61:a710"
"127","8.294483","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"128","8.295323","192.168.1.56","224.0.0.251","MDNS","581","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"129","8.296237","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","601","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"130","9.217172","192.168.1.56","224.0.0.251","MDNS","581","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"131","9.218131","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","601","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"132","11.367466","192.168.1.56","224.0.0.251","MDNS","581","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"133","11.368348","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","601","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"134","11.673901","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"135","12.902821","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"136","12.902821","192.168.1.4","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _sengled._udp.local, ""QM"" question"
"137","13.824407","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"138","14.015670","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","104","Standard query 0x0af0 A public-api.wordpress.com"
"139","14.026392","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","136","Standard query response 0x0af0 A public-api.wordpress.com A 192.0.78.23 A 192.0.78.22"
"140","14.027170","192.168.1.60","192.0.78.23","TCP","66","58033  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"141","14.052072","192.0.78.23","192.168.1.60","TCP","66","443  >  58033 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM WS=512"
"142","14.052179","192.168.1.60","192.0.78.23","TCP","54","58033  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"143","14.052728","192.168.1.60","192.0.78.23","TLSv1.3","660","Client Hello"
"144","14.075318","192.0.78.23","192.168.1.60","TCP","54","443  >  58033 [ACK] Seq=1 Ack=607 Win=30720 Len=0"
"145","14.075318","192.0.78.23","192.168.1.60","TLSv1.3","298","Server Hello, Change Cipher Spec, Application Data, Application Data"
"146","14.075807","192.168.1.60","192.0.78.23","TLSv1.3","118","Change Cipher Spec, Application Data"
"147","14.076139","192.168.1.60","192.0.78.23","TCP","1506","58033  >  443 [ACK] Seq=671 Ack=245 Win=131840 Len=1452 [TCP segment of a reassembled PDU]"
"148","14.076139","192.168.1.60","192.0.78.23","TLSv1.3","239","Application Data"
"149","14.302954","192.0.78.23","192.168.1.60","TCP","298","[TCP Spurious Retransmission] 443  >  58033 [PSH, ACK] Seq=1 Ack=607 Win=30720 Len=244"
"150","14.302989","192.168.1.60","192.0.78.23","TCP","66","[TCP Dup ACK 146#1] 58033  >  443 [ACK] Seq=2308 Ack=245 Win=131840 Len=0 SLE=1 SRE=245"
"151","14.322855","192.168.1.60","192.0.78.23","TCP","1506","[TCP Retransmission] 58033  >  443 [PSH, ACK] Seq=856 Ack=245 Win=131840 Len=1452"
"152","14.529433","192.0.78.23","192.168.1.60","TCP","298","[TCP Spurious Retransmission] 443  >  58033 [PSH, ACK] Seq=1 Ack=607 Win=30720 Len=244"
"153","14.529469","192.168.1.60","192.0.78.23","TCP","66","[TCP Dup ACK 146#2] 58033  >  443 [ACK] Seq=2308 Ack=245 Win=131840 Len=0 SLE=1 SRE=245"
"154","14.635864","192.0.78.23","192.168.1.60","TCP","66","[TCP Window Update] 443  >  58033 [ACK] Seq=245 Ack=607 Win=33792 Len=0 SLE=856 SRE=2308"
